Date,Code,Name,buy_A_d0종가,buy_B_d1시가,buy_C_d1종가,매도가180일,매도일,ret_A,ret_B,ret_C,peak_180d,Year
2023-06-14,067310,하나마이크론,17224.0,17479.0,17566.0,24106.0,2024-03-08,39.95587552252671,37.91406831054409,37.23101445975179,71.22039015327451,2023
2023-06-14,031980,피에스케이홀딩스,12310.0,12810.0,14460.0,41450.0,2024-03-08,236.71811535337125,223.57533177205306,186.65283540802213,259.05767668562146,2023
2023-06-13,031980,피에스케이홀딩스,11980.0,12130.0,12310.0,40750.0,2024-03-07,240.15025041736226,235.94394064303378,231.03168155970755,268.9482470784641,2023
2023-06-08,067310,하나마이크론,16481.0,16488.0,17079.0,23337.0,2024-03-04,41.59941751107337,41.53930131004366,36.64148954856841,78.93938474607123,2023
2023-06-07,032350,롯데관광개발,11450.0,11560.0,11870.0,9050.0,2024-02-29,-20.960698689956338,-21.712802768166096,-23.757371524852566,54.41048034934497,2023
2023-06-07,036930,주성엔지니어링,16840.0,16840.0,17180.0,36750.0,2024-02-29,118.23040380047507,118.23040380047507,113.91152502910361,141.9833729216152,2023
2023-06-05,082920,비츠로셀,9513.0,9639.0,9523.0,8705.0,2024-02-28,-8.493640281719749,-9.689801846664592,-8.589730127060802,31.03122043519395,2023
2023-06-05,032350,롯데관광개발,11290.0,11400.0,11450.0,9050.0,2024-02-28,-19.840566873339238,-20.614035087719294,-20.960698689956338,56.59875996457042,2023
2023-06-02,005850,에스엘,36000.0,36100.0,37300.0,33250.0,2024-02-27,-7.638888888888884,-7.8947368421052655,-10.857908847184984,17.777777777777782,2023
2023-06-01,003570,SNT다이내믹스,10400.0,10450.0,10490.0,17360.0,2024-02-26,66.92307692307693,66.1244019138756,65.49094375595806,70.57692307692307,2023
2023-05-31,353200,대덕전자,25400.0,25300.0,25850.0,22800.0,2024-02-23,-10.236220472440948,-9.881422924901184,-11.798839458413923,56.1023622047244,2023
2023-05-31,003570,SNT다이내믹스,10190.0,10240.0,10400.0,17300.0,2024-02-23,69.77428851815506,68.9453125,66.34615384615385,74.09224730127578,2023
2023-05-31,007810,코리아써키트,16600.0,16430.0,16530.0,20050.0,2024-02-23,20.783132530120476,22.03286670724285,21.294615849969745,35.8433734939759,2023
2023-05-26,082920,비츠로셀,9533.0,9588.0,9518.0,8806.0,2024-02-21,-7.626140774152946,-8.15602836879432,-7.480563143517549,30.75632015105423,2023
2023-05-25,082920,비츠로셀,9497.0,9578.0,9533.0,8831.0,2024-02-20,-7.0127408655364825,-7.799122990185847,-7.363893842442049,31.2519743076761,2023
2023-05-24,007660,이수페타시스,10405.0,11689.0,12185.0,29516.0,2024-02-19,183.6713118692936,152.51090769099153,142.23225276979892,304.69966362325806,2023
2023-05-23,009420,한올바이오파마,23300.0,22900.0,21950.0,34800.0,2024-02-16,49.35622317596567,51.96506550218341,58.54214123006833,100.64377682403433,2023
2023-05-22,042700,한미반도체,26150.0,26350.0,26600.0,75500.0,2024-02-15,188.7189292543021,186.52751423149905,183.8345864661654,221.22370936902485,2023
2023-05-19,353200,대덕전자,23750.0,23500.0,23600.0,24000.0,2024-02-14,1.0526315789473717,2.127659574468077,1.6949152542372836,66.94736842105262,2023
2023-05-18,082920,비츠로셀,9280.0,9381.0,9154.0,9180.0,2024-02-13,-1.0775862068965525,-2.1426287176207204,0.2840288398514357,34.32112068965518,2023
2023-05-18,043260,성호전자,1762.0,1742.0,1709.0,1448.0,2024-02-13,-17.820658342792285,-16.877152698048224,-15.272088940901106,19.182746878547107,2023
2023-05-16,005850,에스엘,37500.0,37800.0,38700.0,34500.0,2024-02-07,-7.9999999999999964,-8.730158730158733,-10.852713178294572,13.06666666666667,2023
2023-05-16,043260,성호전자,1646.0,1645.0,1646.0,1437.0,2024-02-07,-12.69744835965978,-12.644376899696052,-12.69744835965978,27.582017010935612,2023
2023-05-11,319400,현대무벡스,4915.0,4825.0,4770.0,3240.0,2024-02-02,-34.0793489318413,-32.84974093264249,-32.07547169811321,6.205493387589023,2023
2023-05-11,017800,현대엘리베이터,42100.0,41700.0,42100.0,41650.0,2024-02-02,-1.06888361045131,-0.11990407673860837,-1.06888361045131,19.71496437054632,2023
2023-05-10,043260,성호전자,1671.0,1623.0,1553.0,1464.0,2024-02-01,-12.387791741472176,-9.79667282809612,-5.730843528654217,25.673249551166965,2023
2023-05-09,043260,성호전자,1590.0,1603.0,1671.0,1515.0,2024-01-31,-4.716981132075471,-5.489706799750471,-9.335727109515258,32.0754716981132,2023
2023-05-08,043260,성호전자,1670.0,1657.0,1590.0,1531.0,2024-01-30,-8.323353293413172,-7.604103802051898,-3.7106918238993702,25.748502994011968,2023
2023-05-04,140410,메지온,26050.0,26550.0,28850.0,35300.0,2024-01-29,35.50863723608446,32.956685499058395,22.35701906412477,107.67754318618042,2023
2023-05-03,140410,메지온,25700.0,25150.0,26050.0,36700.0,2024-01-26,42.80155642023347,45.92445328031809,40.88291746641075,110.50583657587549,2023
2023-05-03,042700,한미반도체,23200.0,22650.0,21700.0,58700.0,2024-01-26,153.01724137931038,159.16114790286974,170.5069124423963,192.67241379310346,2023
2023-05-03,319400,현대무벡스,4790.0,4675.0,4735.0,3365.0,2024-01-26,-29.749478079331936,-28.021390374331556,-28.933474128827875,8.977035490605424,2023
2023-05-02,140410,메지온,24300.0,24250.0,25700.0,35200.0,2024-01-25,44.85596707818931,45.15463917525773,36.964980544747085,122.63374485596708,2023
2023-04-28,042660,한화오션,23942.0,23942.0,23320.0,21900.0,2024-01-24,-8.528944950296546,-8.528944950296546,-6.089193825042882,85.16414668782892,2023
2023-04-28,319400,현대무벡스,4305.0,4455.0,4495.0,3415.0,2024-01-24,-20.673635307781645,-23.344556677890015,-24.026696329254726,21.254355400696866,2023
2023-04-26,140410,메지온,22450.0,22500.0,21650.0,37000.0,2024-01-22,64.81069042316258,64.44444444444444,70.90069284064666,140.97995545657014,2023
2023-04-25,082740,한화엔진,7980.0,7910.0,7750.0,9900.0,2024-01-19,24.06015037593985,25.158027812895067,27.74193548387096,59.77443609022557,2023
2023-04-24,140410,메지온,21350.0,21100.0,21500.0,37650.0,2024-01-18,76.34660421545667,78.43601895734598,75.11627906976743,153.39578454332553,2023
2023-04-20,319400,현대무벡스,4640.0,5060.0,4255.0,3630.0,2024-01-16,-21.76724137931034,-28.260869565217394,-14.68860164512339,13.577586206896552,2023
2023-04-19,140410,메지온,21000.0,20700.0,20600.0,38200.0,2024-01-15,81.9047619047619,84.54106280193237,85.4368932038835,157.61904761904765,2023
2023-04-18,290650,엘앤씨바이오,32850.0,32850.0,31400.0,28250.0,2024-01-12,-14.00304414003044,-14.00304414003044,-10.031847133757966,26.940639269406397,2023
2023-04-17,001430,세아베스틸지주,26250.0,26050.0,24750.0,22400.0,2024-01-11,-14.66666666666666,-14.011516314779271,-9.49494949494949,13.523809523809515,2023
2023-04-17,083650,비에이치아이,9970.0,9870.0,8660.0,7990.0,2024-01-11,-19.859578736208626,-19.047619047619047,-7.736720554272514,17.05115346038115,2023
2023-04-12,042700,한미반도체,20350.0,19900.0,20300.0,58100.0,2024-01-08,185.50368550368552,191.95979899497488,186.20689655172416,233.66093366093367,2023
2023-04-11,042700,한미반도체,21250.0,20950.0,20350.0,58800.0,2024-01-05,176.7058823529412,180.66825775656326,188.94348894348894,219.52941176470588,2023
2023-04-11,036930,주성엔지니어링,19100.0,19100.0,18260.0,32400.0,2024-01-05,69.63350785340315,69.63350785340315,77.43702081051478,98.95287958115185,2023
2023-04-10,036930,주성엔지니어링,17130.0,17060.0,19100.0,32350.0,2024-01-04,88.84997081144192,89.62485345838218,69.37172774869109,121.83304144775246,2023
2023-04-10,042700,한미반도체,19990.0,20650.0,21250.0,59000.0,2024-01-04,195.14757378689342,185.71428571428572,177.6470588235294,239.66983491745873,2023
2023-04-07,036930,주성엔지니어링,15900.0,17300.0,17130.0,32150.0,2024-01-03,102.20125786163523,85.83815028901734,87.6824284880327,138.99371069182388,2023
2023-04-07,067310,하나마이크론,15284.0,15282.0,14882.0,24961.0,2024-01-03,63.314577335775965,63.33595079178118,67.72611208170945,92.9534153362994,2023
2023-04-05,067310,하나마이크론,14301.0,13975.0,14036.0,24918.0,2023-12-28,74.23956366687645,78.304114490161,77.52921060131091,106.21634850709741,2023
2023-04-05,042700,한미반도체,19480.0,19100.0,19630.0,61700.0,2023-12-28,216.735112936345,223.0366492146597,214.31482424859908,248.56262833675564,2023
2023-04-03,007390,네이처셀,19150.0,18970.0,21200.0,7910.0,2023-12-26,-58.69451697127938,-58.30258302583026,-62.68867924528302,33.15926892950392,2023
2023-03-31,067310,하나마이크론,13933.0,13940.0,13591.0,24449.0,2023-12-22,75.47548984425465,75.38737446197992,79.89110440732838,111.66295844398194,2023
2023-03-30,067310,하나마이크론,13917.0,14530.0,13933.0,25090.0,2023-12-21,80.28310699144932,72.67721954576739,80.07607837508075,111.90630164546955,2023
2023-03-29,067310,하나마이크론,14275.0,14805.0,13917.0,25132.0,2023-12-20,76.05604203152365,69.75346166835527,80.58489617015161,106.59194395796847,2023
2023-03-28,036930,주성엔지니어링,15800.0,16130.0,15980.0,33600.0,2023-12-19,112.65822784810125,108.307501549907,110.26282853566957,140.50632911392404,2023
2023-03-28,067310,하나마이크론,12651.0,14889.0,14275.0,25090.0,2023-12-19,98.32424314283456,68.51366780844918,75.76182136602452,133.11200695597188,2023
2023-03-24,082920,비츠로셀,10472.0,10598.0,9780.0,8246.0,2023-12-15,-21.256684491978607,-22.192866578599734,-15.685071574642128,19.031703590527126,2023
2023-03-24,067310,하나마이크론,12463.0,12266.0,11933.0,23679.0,2023-12-15,89.99438337478938,93.0458177074841,98.43291712058996,136.62842012356577,2023
2023-03-22,067310,하나마이크론,11856.0,11564.0,11727.0,23935.0,2023-12-13,101.88090418353575,106.9785541335178,104.10164577470793,148.7432523616734,2023
2023-03-20,067310,하나마이크론,11283.0,11291.0,11198.0,23551.0,2023-12-11,108.72994770894265,108.58205650518111,110.31434184675834,161.37552069485065,2023
