n,skip,SW_n,SW_rate,w100_n,w100_rate,w50_n,w50_rate,avg_peak,avg_ret,winrate,filter,sort,mode,combo,set,invest_10m,profit_10m,final_10m,ret_pct_overall
142,419,18,12.676056338028168,43,30.28169014084507,80,56.33802816901409,97.46993478938757,48.378767199323065,68.30985915492957,F01_회피6_기본,S09_52주고점근접,weekly_2,F01_회피6_기본__S09_52주고점근접,FULL_weekly_2,14200000,6869784.942303875,21069784.942303874,48.378767199323065
147,414,11,7.482993197278912,38,25.850340136054424,67,45.57823129251701,81.64253274587807,31.06952500811896,60.544217687074834,F01_회피6_기본,S10_랜덤,weekly_2,F01_회피6_기본__S10_랜덤,FULL_weekly_2,14700000,4567220.176193487,19267220.176193487,31.06952500811896
162,380,20,12.34567901234568,46,28.39506172839506,70,43.20987654320987,94.71783692763027,46.983606214523334,58.0246913580247,F02_slope_05,S01_거래대금낮,weekly_2,F02_slope_05__S01_거래대금낮,FULL_weekly_2,16200000,7611344.20675278,23811344.20675278,46.983606214523334
188,354,23,12.23404255319149,51,27.127659574468083,92,48.93617021276596,88.21278360013928,43.934197853274966,59.04255319148937,F02_slope_05,S02_거래대금높,weekly_2,F02_slope_05__S02_거래대금높,FULL_weekly_2,18800000,8259629.1964156935,27059629.196415693,43.934197853274966
121,421,12,9.917355371900827,32,26.446280991735534,56,46.28099173553719,82.54146143844258,34.82490050276254,58.67768595041323,F02_slope_05,S03_점수낮,weekly_2,F02_slope_05__S03_점수낮,FULL_weekly_2,12100000,4213812.960834268,16313812.960834268,34.82490050276254
205,337,21,10.24390243902439,60,29.268292682926827,95,46.34146341463415,82.99995534876624,34.80852213040088,60.0,F02_slope_05,S04_점수높,weekly_2,F02_slope_05__S04_점수높,FULL_weekly_2,20500000,7135747.036732181,27635747.036732182,34.80852213040088
149,393,15,10.06711409395973,34,22.818791946308725,50,33.557046979865774,70.13959201356974,25.229086509886724,49.664429530201346,F02_slope_05,S05_변동성낮,weekly_2,F02_slope_05__S05_변동성낮,FULL_weekly_2,14900000,3759133.8899731217,18659133.889973123,25.229086509886724
137,405,16,11.67883211678832,38,27.73722627737226,66,48.175182481751825,89.09142056844576,35.03874958643675,60.58394160583942,F02_slope_05,S06_변동성높,weekly_2,F02_slope_05__S06_변동성높,FULL_weekly_2,13700000,4800308.693341835,18500308.693341836,35.03874958643676
221,321,33,14.93212669683258,80,36.199095022624434,123,55.65610859728507,107.54483081265552,52.67636671514353,64.70588235294117,F02_slope_05,S07_slope강한,weekly_2,F02_slope_05__S07_slope강한,FULL_weekly_2,22100000,11641477.04404672,33741477.04404672,52.67636671514353
148,394,15,10.135135135135137,40,27.027027027027028,75,50.67567567567568,86.98874672668921,40.35319569254292,60.810810810810814,F02_slope_05,S08_외인매수강,weekly_2,F02_slope_05__S08_외인매수강,FULL_weekly_2,14800000,5972272.962496352,20772272.96249635,40.35319569254292
144,398,18,12.5,47,32.63888888888889,81,56.25,104.0260952433656,50.2559216409194,67.36111111111111,F02_slope_05,S09_52주고점근접,weekly_2,F02_slope_05__S09_52주고점근접,FULL_weekly_2,14400000,7236852.716292393,21636852.716292392,50.2559216409194
144,398,16,11.11111111111111,32,22.22222222222222,60,41.66666666666667,85.49616024953798,40.37988610783704,56.94444444444444,F02_slope_05,S10_랜덤,weekly_2,F02_slope_05__S10_랜덤,FULL_weekly_2,14400000,5814703.599528533,20214703.599528532,40.37988610783704
136,384,18,13.23529411764706,41,30.14705882352941,59,43.38235294117647,97.44871470041892,51.68350617374536,56.61764705882353,F03_slope_10,S01_거래대금낮,weekly_2,F03_slope_10__S01_거래대금낮,FULL_weekly_2,13600000,7028956.839629368,20628956.839629367,51.68350617374535
183,337,18,9.836065573770492,42,22.950819672131143,84,45.90163934426229,79.33677831724826,34.81251662279322,57.92349726775956,F03_slope_10,S02_거래대금높,weekly_2,F03_slope_10__S02_거래대금높,FULL_weekly_2,18300000,6370690.541971158,24670690.54197116,34.81251662279322
171,349,22,12.865497076023392,49,28.654970760233915,85,49.707602339181285,100.33500194826942,43.05161800145499,60.23391812865497,F03_slope_10,S03_점수낮,weekly_2,F03_slope_10__S03_점수낮,FULL_weekly_2,17100000,7361826.678248803,24461826.678248804,43.05161800145499
174,346,13,7.471264367816093,43,24.71264367816092,81,46.55172413793103,79.74141650004674,35.192691417906936,55.74712643678161,F03_slope_10,S04_점수높,weekly_2,F03_slope_10__S04_점수높,FULL_weekly_2,17400000,6123528.306715807,23523528.30671581,35.192691417906936
116,404,9,7.758620689655173,21,18.103448275862068,39,33.62068965517241,66.94275108863611,23.78715526816659,51.72413793103448,F03_slope_10,S05_변동성낮,weekly_2,F03_slope_10__S05_변동성낮,FULL_weekly_2,11600000,2759310.0111073246,14359310.011107326,23.78715526816659
191,329,27,14.136125654450264,64,33.50785340314136,109,57.06806282722513,102.40420196197306,49.8950747001331,63.35078534031413,F03_slope_10,S06_변동성높,weekly_2,F03_slope_10__S06_변동성높,FULL_weekly_2,19100000,9529959.267725423,28629959.267725423,49.8950747001331
203,317,28,13.79310344827586,67,33.004926108374384,108,53.20197044334976,104.74024570095186,51.92088576028878,63.05418719211823,F03_slope_10,S07_slope강한,weekly_2,F03_slope_10__S07_slope강한,FULL_weekly_2,20300000,10539939.809338622,30839939.80933862,51.92088576028878
153,367,14,9.15032679738562,33,21.568627450980394,73,47.7124183006536,83.15054707555376,41.071495160355575,57.51633986928104,F03_slope_10,S08_외인매수강,weekly_2,F03_slope_10__S08_외인매수강,FULL_weekly_2,15300000,6283938.759534403,21583938.759534404,41.071495160355575
139,381,18,12.949640287769784,44,31.654676258992804,78,56.11510791366906,102.8883498047612,50.09738890570382,62.589928057553955,F03_slope_10,S09_52주고점근접,weekly_2,F03_slope_10__S09_52주고점근접,FULL_weekly_2,13900000,6963537.057892831,20863537.05789283,50.09738890570382
