Date,등급,가능성태그,예상수익률,Code,Name,Market,Close,Amount,Score,StrongScore,peak_pred,p_sw,p_100plus,p_50plus,p_loss,ret_180d,peak_180d,sell_close,sell_date,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,Year,YYYYMM,p_sw%,p_100plus%,p_50plus%,p_loss%,week,하락,대박실패
2023-02-10,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+31% (상승),011200,HMM,KOSPI,21950.0,26702021350.0,41.49,2.4,31.3,0.681997224438929,0.4823680635277079,0.6223254506455838,0.498207128052411,-23.7,6.8,16750.0,2023-11-06,4.52380952380953,-6.794055201698512,-28.617886178861784,-41.699867197875164,0.0400074664971139,-9.484536082474229,2023,2023-02,68.2,48.2,62.2,49.8,2023-06,1,1
2023-02-10,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+22% (상승),336260,두산퓨얼셀,KOSPI,34700.0,24848427100.0,40.77,2.06,22.2,0.5910016713569527,0.4750489309756975,0.5424402620171618,0.4855640412522487,-43.1,7.5,19760.0,2023-11-06,-6.594885598923284,-10.451612903225804,-6.216216216216219,-17.479191438763376,-0.0994940076171525,-7.466666666666666,2023,2023-02,59.1,47.5,54.2,48.6,2023-06,1,1
2023-02-13,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+71% (대상승),003530,한화투자증권,KOSPI,3235.0,4234407960.0,41.24,2.37,70.5,0.545302994222058,0.6400945314261551,0.6678379244560062,0.4484459194330448,-23.2,2.0,2485.0,2023-11-07,21.845574387947273,-2.8528528528528496,-30.20496224379719,-41.18181818181819,0.4842353870227122,-17.157490396927024,2023,2023-02,54.5,64.0,66.8,44.8,2023-07,1,1
2023-02-14,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+76% (대상승),023590,다우기술,KOSPI,22800.0,4711870800.0,40.24,2.65,75.9,0.6270778611608857,0.636939157195922,0.6647440082210988,0.4271519765544626,-24.8,6.6,17150.0,2023-11-08,18.441558441558435,21.6,8.571428571428562,-6.748466257668717,0.3137771090177481,-6.748466257668717,2023,2023-02,62.7,63.7,66.5,42.7,2023-07,1,1
2023-02-14,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+58% (대상승),098460,고영,KOSDAQ,18030.0,10944714840.0,43.21,2.48,57.5,0.578419763052259,0.6946186628867348,0.6647897198225513,0.4823937301665492,-30.0,4.3,12620.0,2023-11-08,31.127272727272736,28.327402135231328,-6.337662337662342,-10.962962962962964,0.4279044148968933,-0.6611570247933907,2023,2023-02,57.8,69.5,66.5,48.2,2023-07,1,1
2023-02-14,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+48% (상승),099320,쎄트렉아이,KOSDAQ,44400.0,2182926000.0,40.64,2.41,48.3,0.5514842128615317,0.6750857146720697,0.6465646329630228,0.4534568410735007,-37.4,0.0,27800.0,2023-11-08,61.74863387978142,28.695652173913032,12.547528517110273,-16.69793621013134,0.7434153142577132,-9.016393442622949,2023,2023-02,55.1,67.5,64.7,45.3,2023-07,1,1
2023-02-14,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+23% (상승),336260,두산퓨얼셀,KOSPI,34750.0,10861529500.0,41.21,2.22,22.8,0.6252972550492875,0.4964683947510955,0.5357010485979209,0.4694516142631035,-45.0,7.3,19110.0,2023-11-08,-5.82655826558266,-5.442176870748295,-4.794520547945202,-17.360285374554106,-0.0410031559800318,-7.20961281708945,2023,2023-02,62.5,49.6,53.6,46.9,2023-07,1,1
2023-02-15,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+62% (대상승),098460,고영,KOSDAQ,18290.0,14733911880.0,42.06,2.88,61.7,0.7072890666770139,0.6873101364148623,0.6739517994300143,0.4753835023928386,-32.2,2.2,12400.0,2023-11-09,38.03773584905661,30.64285714285715,-3.989501312335963,-9.679012345679016,0.4559060659327864,-2.7644869750132917,2023,2023-02,70.7,68.7,67.4,47.5,2023-07,1,1
2023-02-15,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+60% (대상승),100790,미래에셋벤처투자,KOSDAQ,6080.0,46184008320.0,52.51,2.74,59.5,0.7237162045230509,0.6479977699858439,0.642221315967656,0.5212424729252374,-21.1,6.2,4795.0,2023-11-09,39.770114942528735,0.4958677685950485,-42.91079812206573,-47.35930735930736,0.3931285354447864,-11.240875912408754,2023,2023-02,72.4,64.8,64.2,52.1,2023-07,1,1
2023-02-16,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+58% (대상승),100790,미래에셋벤처투자,KOSDAQ,6050.0,6263014450.0,42.14,2.74,57.9,0.6873885293669404,0.6463646483515676,0.6703219932990716,0.4808949890062918,-21.9,6.8,4725.0,2023-11-10,37.03284258210646,0.6655574043261225,-43.1924882629108,-47.61904761904761,0.4242739386209814,-11.678832116788318,2023,2023-02,68.7,64.6,67.0,48.1,2023-07,1,1
2023-02-16,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+59% (대상승),023590,다우기술,KOSPI,23850.0,11263734900.0,41.41,1.46,59.2,0.2541673845918132,0.6302930373698481,0.6535772552865171,0.4516177989923285,-28.3,0.8,17100.0,2023-11-10,24.869109947643977,29.619565217391308,9.403669724770648,-2.453987730061346,0.3254192450578662,-2.453987730061346,2023,2023-02,25.4,63.0,65.4,45.2,2023-07,1,1
2023-02-16,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+23% (상승),336260,두산퓨얼셀,KOSPI,34450.0,11336633750.0,41.77,1.39,23.5,0.3522560873853244,0.4899588251738568,0.5255218173701405,0.4632221460074602,-46.8,8.3,18330.0,2023-11-10,-2.9577464788732355,-11.096774193548386,-15.356265356265354,-18.073721759809747,0.0006892285758443,-4.965517241379313,2023,2023-02,35.2,49.0,52.6,46.3,2023-07,1,1
2023-02-17,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+56% (대상승),100790,미래에셋벤처투자,KOSDAQ,6130.0,15726263670.0,42.37,2.86,55.9,0.7309314630349526,0.6749161810980462,0.6835901383660391,0.5143565134715657,-23.4,5.2,4695.0,2023-11-13,35.92017738359201,0.6568144499178974,-44.27272727272727,-46.926406926406926,0.4581058417405957,-10.510948905109483,2023,2023-02,73.1,67.5,68.4,51.4,2023-07,1,1
2023-02-17,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+36% (상승),028670,팬오션,KOSPI,6070.0,14896162410.0,41.51,2.24,36.2,0.5208866689856511,0.6646556184671436,0.6401776988960801,0.4804709640308019,-26.5,13.2,4460.0,2023-11-13,15.839694656488556,10.163339382940118,-13.16165951359084,-27.65196662693683,0.2043470965604935,-5.451713395638624,2023,2023-02,52.1,66.5,64.0,48.0,2023-07,1,0
2023-02-21,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+32% (상승),028670,팬오션,KOSPI,6300.0,23850716400.0,47.73,1.79,32.2,0.4134380982792079,0.6348395293100569,0.6148461683643914,0.5066402648642115,-33.1,9.0,4215.0,2023-11-15,21.387283236994215,22.807017543859654,-11.392405063291145,-24.91060786650775,0.193704691933556,-1.869158878504673,2023,2023-02,41.3,63.5,61.5,50.7,2023-08,1,1
2023-02-21,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+24% (상승),336260,두산퓨얼셀,KOSPI,35950.0,24393980350.0,45.89,1.47,24.1,0.3663552272658312,0.490183812516903,0.5451630613117314,0.456228139673696,-46.0,3.8,19400.0,2023-11-15,0.4189944134078249,-7.702182284980741,-9.44584382871536,-14.506539833531509,0.0782304055749448,-1.5068493150684923,2023,2023-02,36.6,49.0,54.5,45.6,2023-08,1,1
2023-02-22,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+34% (상승),028670,팬오션,KOSPI,6400.0,45225139200.0,48.0,2.63,34.1,0.6793813511514744,0.6544474715809265,0.6494836838421174,0.5180243263375319,-35.5,7.3,4130.0,2023-11-16,22.60536398467432,24.031007751937985,-9.090909090909092,-23.71871275327771,0.1928933002267712,-4.047976011994003,2023,2023-02,67.9,65.4,64.9,51.8,2023-08,1,1
2023-02-23,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+34% (상승),028670,팬오션,KOSPI,6570.0,34289848350.0,45.52,2.28,33.9,0.5425270193648039,0.6677929878111215,0.6521375800501156,0.5006980598414394,-37.4,4.6,4110.0,2023-11-17,22.803738317757016,27.572815533980588,-8.495821727019504,-21.692491060786654,0.1965097032385122,-2.377414561664193,2023,2023-02,54.3,66.8,65.2,50.1,2023-08,1,1
2023-02-23,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+48% (상승),214370,케어젠,KOSDAQ,38960.0,26553188000.0,40.34,1.6,47.5,0.3686620039725752,0.5503094560039646,0.7575626028400027,0.5442261653901103,-31.7,37.1,26600.0,2023-11-17,75.81227436823103,52.90423861852433,252.2603978300181,-2.551275637818906,0.7448007799191109,-2.551275637818906,2023,2023-02,36.9,55.0,75.8,54.4,2023-08,1,0
2023-02-24,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+94% (대상승),347700,스피어,KOSDAQ,6135.0,21681470370.0,56.22,2.88,93.6,0.6554580293454378,0.7840086433192195,0.7391389412113321,0.501342057001394,-53.0,13.1,2885.0,2023-11-20,50.62607414682052,35.58011049723757,-17.251146479633128,-24.77007970570202,0.6114751223418379,-4.721230004659105,2023,2023-02,65.5,78.4,73.9,50.1,2023-08,1,0
