n,skip,SW_n,SW_rate,w100_n,w100_rate,w50_n,w50_rate,avg_peak,avg_ret,winrate,final,ret_pct,profit,filter,sort,mode,combo,set
28,208,2,7.142857142857142,5,17.857142857142858,13,46.42857142857143,77.00401245973619,35.87646221614317,50.0,20045409.420520082,100.45409420520085,10045409.420520082,F06_외인기관동시매수,S07_slope강한,weekly_3,F06_외인기관동시매수__S07_slope강한,OOS_weekly_3
38,198,8,21.052631578947366,13,34.21052631578947,23,60.526315789473685,136.6543946083723,86.87290757774285,68.42105263157895,43011704.879542276,330.1170487954227,33011704.879542276,F06_외인기관동시매수,S08_외인매수강,weekly_3,F06_외인기관동시매수__S08_외인매수강,OOS_weekly_3
28,208,4,14.285714285714285,4,14.285714285714285,11,39.285714285714285,96.15902480777568,49.705153378562365,50.0,23917442.94599746,139.1744294599746,13917442.945997462,F06_외인기관동시매수,S09_52주고점근접,weekly_3,F06_외인기관동시매수__S09_52주고점근접,OOS_weekly_3
37,199,5,13.513513513513514,12,32.432432432432435,24,64.86486486486487,121.65903639673628,74.0217519540393,67.56756756756756,37388048.222994536,273.88048222994536,27388048.222994536,F06_외인기관동시매수,S10_랜덤,weekly_3,F06_외인기관동시매수__S10_랜덤,OOS_weekly_3
32,201,8,25.0,13,40.625,18,56.25,176.9854259524409,144.61646889355512,62.5,56277270.04593764,462.77270045937644,46277270.04593764,F07_눌림목30_10,S01_거래대금낮,weekly_3,F07_눌림목30_10__S01_거래대금낮,OOS_weekly_3
23,210,0,0.0,5,21.73913043478261,8,34.78260869565217,48.75292266370783,0.6142539075917288,21.73913043478261,10141278.398746097,1.4127839874609638,141278.39874609746,F07_눌림목30_10,S02_거래대금높,weekly_3,F07_눌림목30_10__S02_거래대금높,OOS_weekly_3
25,208,3,12.0,7,28.000000000000004,11,44.0,115.99166437447774,69.12835219943366,40.0,27282088.049858417,172.8208804985842,17282088.049858417,F07_눌림목30_10,S03_점수낮,weekly_3,F07_눌림목30_10__S03_점수낮,OOS_weekly_3
24,209,0,0.0,3,12.5,7,29.166666666666668,38.97525449342506,-1.666939288568674,33.33333333333333,9599934.570743518,-4.00065429256482,-400065.42925648205,F07_눌림목30_10,S04_점수높,weekly_3,F07_눌림목30_10__S04_점수높,OOS_weekly_3
29,204,5,17.24137931034483,8,27.586206896551722,11,37.93103448275862,184.09650279756949,156.83839840450463,58.620689655172406,55483135.53730635,454.8313553730635,45483135.53730635,F07_눌림목30_10,S05_변동성낮,weekly_3,F07_눌림목30_10__S05_변동성낮,OOS_weekly_3
31,202,5,16.129032258064516,16,51.61290322580645,19,61.29032258064516,119.79600315890164,72.61421489415659,58.06451612903226,32510406.617188543,225.10406617188545,22510406.617188543,F07_눌림목30_10,S06_변동성높,weekly_3,F07_눌림목30_10__S06_변동성높,OOS_weekly_3
29,204,8,27.586206896551722,11,37.93103448275862,14,48.275862068965516,215.34023952154573,175.5750500920185,58.620689655172406,60916764.52668537,509.1676452668537,50916764.52668537,F07_눌림목30_10,S07_slope강한,weekly_3,F07_눌림목30_10__S07_slope강한,OOS_weekly_3
26,207,4,15.384615384615385,7,26.923076923076923,10,38.46153846153847,119.24667711694792,71.17530797036956,38.46153846153847,28505580.07229609,185.0558007229609,18505580.07229609,F07_눌림목30_10,S08_외인매수강,weekly_3,F07_눌림목30_10__S08_외인매수강,OOS_weekly_3
25,208,5,20.0,9,36.0,12,48.0,183.27017148728487,133.95412260503028,40.0,43488530.651257575,334.8853065125757,33488530.651257575,F07_눌림목30_10,S09_52주고점근접,weekly_3,F07_눌림목30_10__S09_52주고점근접,OOS_weekly_3
30,203,8,26.666666666666668,12,40.0,15,50.0,148.85954969890471,111.66025297702433,60.0,43498075.8931073,334.980758931073,33498075.893107302,F07_눌림목30_10,S10_랜덤,weekly_3,F07_눌림목30_10__S10_랜덤,OOS_weekly_3
29,229,7,24.137931034482758,8,27.586206896551722,14,48.275862068965516,106.71677974667928,64.96657566033583,58.620689655172406,28840306.94149739,188.4030694149739,18840306.94149739,F08_안정추세60,S01_거래대금낮,weekly_3,F08_안정추세60__S01_거래대금낮,OOS_weekly_3
22,236,2,9.090909090909092,2,9.090909090909092,6,27.27272727272727,44.93205735679056,3.1519194462952687,27.27272727272727,10693422.27818496,6.934222781849586,693422.2781849597,F08_안정추세60,S02_거래대금높,weekly_3,F08_안정추세60__S02_거래대금높,OOS_weekly_3
24,234,3,12.5,4,16.666666666666664,8,33.33333333333333,78.67127054027108,36.318107708630954,33.33333333333333,18716345.85007143,87.1634585007143,8716345.85007143,F08_안정추세60,S03_점수낮,weekly_3,F08_안정추세60__S03_점수낮,OOS_weekly_3
25,233,1,4.0,4,16.0,7,28.000000000000004,47.77548521500329,1.3560647092331437,40.0,10339016.177308286,3.390161773082867,339016.1773082856,F08_안정추세60,S04_점수높,weekly_3,F08_안정추세60__S04_점수높,OOS_weekly_3
32,226,1,3.125,7,21.875,13,40.625,61.77153846624846,30.666047860082074,56.25,19813135.315226264,98.13135315226265,9813135.315226264,F08_안정추세60,S05_변동성낮,weekly_3,F08_안정추세60__S05_변동성낮,OOS_weekly_3
20,238,2,10.0,4,20.0,9,45.0,63.36469621833335,6.691155913220356,35.0,11338231.182644071,13.382311826440718,1338231.182644071,F08_안정추세60,S06_변동성높,weekly_3,F08_안정추세60__S06_변동성높,OOS_weekly_3
26,232,3,11.538461538461538,4,15.384615384615385,10,38.46153846153847,70.57078757245166,29.307964168627702,53.84615384615385,17620070.683843203,76.20070683843203,7620070.683843203,F08_안정추세60,S07_slope강한,weekly_3,F08_안정추세60__S07_slope강한,OOS_weekly_3
34,224,9,26.47058823529412,14,41.17647058823529,21,61.76470588235294,149.61202437011892,102.08878240345415,70.58823529411765,44710186.01717441,347.10186017174414,34710186.01717441,F08_안정추세60,S08_외인매수강,weekly_3,F08_안정추세60__S08_외인매수강,OOS_weekly_3
30,228,7,23.333333333333332,8,26.666666666666668,14,46.666666666666664,115.81621218834816,80.7424395942125,56.666666666666664,34222731.87826376,242.22731878263755,24222731.878263757,F08_안정추세60,S09_52주고점근접,weekly_3,F08_안정추세60__S09_52주고점근접,OOS_weekly_3
27,231,2,7.4074074074074066,4,14.814814814814813,12,44.44444444444444,58.66299819592417,14.301489267523632,44.44444444444444,13861402.10223138,38.61402102231379,3861402.1022313796,F08_안정추세60,S10_랜덤,weekly_3,F08_안정추세60__S10_랜덤,OOS_weekly_3
36,214,9,25.0,16,44.44444444444444,25,69.44444444444444,211.30436120550317,175.73908532330427,77.77777777777779,73266070.71638954,632.6607071638954,63266070.71638954,F09_slope05_과열X,S01_거래대금낮,weekly_3,F09_slope05_과열X__S01_거래대금낮,OOS_weekly_3
29,221,3,10.344827586206897,5,17.24137931034483,14,48.275862068965516,84.31975663311397,32.88699303878562,51.724137931034484,19537227.981247827,95.37227981247827,9537227.981247827,F09_slope05_과열X,S02_거래대금높,weekly_3,F09_slope05_과열X__S02_거래대금높,OOS_weekly_3
31,219,5,16.129032258064516,7,22.58064516129032,19,61.29032258064516,127.77851892734287,82.5638234609521,61.29032258064516,35594785.27289515,255.94785272895152,25594785.27289515,F09_slope05_과열X,S03_점수낮,weekly_3,F09_slope05_과열X__S03_점수낮,OOS_weekly_3
34,216,4,11.76470588235294,11,32.35294117647059,18,52.94117647058824,93.89408820853986,45.13573129904175,64.70588235294117,25346148.641674194,153.46148641674193,15346148.641674194,F09_slope05_과열X,S04_점수높,weekly_3,F09_slope05_과열X__S04_점수높,OOS_weekly_3
31,219,3,9.67741935483871,4,12.903225806451612,10,32.25806451612903,63.4364717011532,24.923515263191046,54.83870967741935,17726289.731589224,77.26289731589225,7726289.731589224,F09_slope05_과열X,S05_변동성낮,weekly_3,F09_slope05_과열X__S05_변동성낮,OOS_weekly_3
28,222,4,14.285714285714285,8,28.57142857142857,17,60.71428571428571,93.10761810718448,37.46125659398625,71.42857142857143,20489151.846316148,104.89151846316149,10489151.846316148,F09_slope05_과열X,S06_변동성높,weekly_3,F09_slope05_과열X__S06_변동성높,OOS_weekly_3
29,221,8,27.586206896551722,10,34.48275862068966,17,58.620689655172406,219.78729528303708,171.58507367477688,68.96551724137932,59759671.365685314,497.5967136568531,49759671.365685314,F09_slope05_과열X,S07_slope강한,weekly_3,F09_slope05_과열X__S07_slope강한,OOS_weekly_3
37,213,6,16.216216216216218,10,27.027027027027028,24,64.86486486486487,108.74146165884363,58.95545446332884,72.97297297297297,31813518.151431672,218.1351815143167,21813518.151431672,F09_slope05_과열X,S08_외인매수강,weekly_3,F09_slope05_과열X__S08_외인매수강,OOS_weekly_3
30,220,4,13.333333333333334,6,20.0,15,50.0,118.44875281011365,67.97535369200855,56.666666666666664,30392606.107602566,203.92606107602566,20392606.107602566,F09_slope05_과열X,S09_52주고점근접,weekly_3,F09_slope05_과열X__S09_52주고점근접,OOS_weekly_3
32,218,5,15.625,9,28.125,20,62.5,138.22899237850828,94.8141448282687,71.875,40340526.345045984,303.4052634504598,30340526.345045984,F09_slope05_과열X,S10_랜덤,weekly_3,F09_slope05_과열X__S10_랜덤,OOS_weekly_3
30,215,8,26.666666666666668,15,50.0,22,73.33333333333333,234.12383815199553,176.64291704022204,73.33333333333333,62992875.112066604,529.9287511206661,52992875.112066604,F10_KOSDAQ만,S01_거래대금낮,weekly_3,F10_KOSDAQ만__S01_거래대금낮,OOS_weekly_3
27,218,2,7.4074074074074066,8,29.629629629629626,16,59.25925925925925,77.49215634293448,23.63086730383946,59.25925925925925,16380334.172036655,63.80334172036655,6380334.172036655,F10_KOSDAQ만,S02_거래대금높,weekly_3,F10_KOSDAQ만__S02_거래대금높,OOS_weekly_3
27,218,6,22.22222222222222,10,37.03703703703704,18,66.66666666666666,158.49335163005296,92.14245057842675,62.96296296296296,34878461.656175226,248.78461656175227,24878461.656175226,F10_KOSDAQ만,S03_점수낮,weekly_3,F10_KOSDAQ만__S03_점수낮,OOS_weekly_3
26,219,4,15.384615384615385,9,34.61538461538461,16,61.53846153846154,91.7982572363657,33.56092838711548,57.692307692307686,18725841.380650025,87.25841380650026,8725841.380650025,F10_KOSDAQ만,S04_점수높,weekly_3,F10_KOSDAQ만__S04_점수높,OOS_weekly_3
29,216,3,10.344827586206897,6,20.689655172413794,18,62.06896551724138,82.60230417459753,39.48518734523959,62.06896551724138,21450704.330119483,114.50704330119481,11450704.330119483,F10_KOSDAQ만,S05_변동성낮,weekly_3,F10_KOSDAQ만__S05_변동성낮,OOS_weekly_3
25,220,7,28.000000000000004,12,48.0,17,68.0,214.1270557965446,135.87766232623272,56.00000000000001,43969415.58155819,339.69415581558195,33969415.58155819,F10_KOSDAQ만,S06_변동성높,weekly_3,F10_KOSDAQ만__S06_변동성높,OOS_weekly_3
29,216,11,37.93103448275862,17,58.620689655172406,22,75.86206896551724,233.768008173871,166.23664889191613,75.86206896551724,58208628.178655684,482.0862817865568,48208628.178655684,F10_KOSDAQ만,S07_slope강한,weekly_3,F10_KOSDAQ만__S07_slope강한,OOS_weekly_3
28,217,10,35.714285714285715,11,39.285714285714285,18,64.28571428571429,140.36238714388898,77.25982130029459,64.28571428571429,31632749.964082487,216.32749964082487,21632749.964082487,F10_KOSDAQ만,S08_외인매수강,weekly_3,F10_KOSDAQ만__S08_외인매수강,OOS_weekly_3
28,217,5,17.857142857142858,9,32.142857142857146,19,67.85714285714286,179.83136572094347,117.75102147771238,67.85714285714286,42970286.01375947,329.7028601375947,32970286.01375947,F10_KOSDAQ만,S09_52주고점근접,weekly_3,F10_KOSDAQ만__S09_52주고점근접,OOS_weekly_3
26,219,6,23.076923076923077,9,34.61538461538461,17,65.38461538461539,157.61457576166492,90.3953275059432,53.84615384615385,33502785.15154523,235.02785151545228,23502785.15154523,F10_KOSDAQ만,S10_랜덤,weekly_3,F10_KOSDAQ만__S10_랜덤,OOS_weekly_3
164,966,22,13.414634146341465,49,29.878048780487802,84,51.21951219512195,94.90886633675848,50.35649948492081,67.07317073170732,92584659.15527013,825.8465915527014,82584659.15527013,F01_회피6_기본,S01_거래대금낮,daily_1,F01_회피6_기본__S01_거래대금낮,FULL_daily_1
130,1000,9,6.923076923076923,35,26.923076923076923,64,49.23076923076923,79.58516105159863,27.50244134017579,59.23076923076923,45753173.74222854,357.53173742228535,35753173.74222854,F01_회피6_기본,S02_거래대금높,daily_1,F01_회피6_기본__S02_거래대금높,FULL_daily_1
165,965,21,12.727272727272727,46,27.878787878787882,82,49.696969696969695,94.66687741676846,48.68217465360911,62.42424242424243,90325588.17845504,803.2558817845503,80325588.17845504,F01_회피6_기본,S03_점수낮,daily_1,F01_회피6_기본__S03_점수낮,FULL_daily_1
146,984,10,6.8493150684931505,38,26.027397260273972,68,46.57534246575342,77.55251516839073,29.377939472245394,60.95890410958904,52891791.62947827,428.9179162947827,42891791.62947827,F01_회피6_기본,S04_점수높,daily_1,F01_회피6_기본__S04_점수높,FULL_daily_1
126,1004,6,4.761904761904762,27,21.428571428571427,51,40.476190476190474,66.75953527198526,24.119830885639093,59.523809523809526,40390986.915905245,303.90986915905245,30390986.915905245,F01_회피6_기본,S05_변동성낮,daily_1,F01_회피6_기본__S05_변동성낮,FULL_daily_1
178,952,26,14.606741573033707,63,35.39325842696629,97,54.49438202247191,102.74866476314901,48.26977400267219,64.60674157303372,95920197.72475648,859.2019772475649,85920197.72475648,F01_회피6_기본,S06_변동성높,daily_1,F01_회피6_기본__S06_변동성높,FULL_daily_1
