rule,type,train_n,train_hit,train_lift,test_n,test_hit,test_lift,test_mean_peak,passes_oos,target,feat,direction,cut
KOSDAQ AND chart=pullback_recovery AND marcap200~500bn,combo3,90,0.7777777777777778,1.3545851878583743,38,0.7631578947368421,1.2828721976238655,62.466871907650535,True,hit_20,,,
KOSDAQ AND rs>=1.1 AND price_low<=5000won,combo3,89,0.8089887640449438,1.4089425388960297,38,0.7631578947368421,1.2828721976238655,273.8847348728421,True,hit_20,,,
s3>=90 AND s10>=90 AND KOSDAQ,combo3,232,0.7543103448275862,1.3137140830523026,153,0.7516339869281046,1.2635004515700454,107.04637822178518,True,hit_20,,,
chart=new_high_120 AND price_low<=5000won,combo2,100,0.76,1.3236232407073258,90,0.7333333333333333,1.2327369623144269,88.91141517714246,True,hit_20,,,
s4>=75 AND chart=new_high_120 AND price_low<=5000won,combo3,100,0.76,1.3236232407073258,90,0.7333333333333333,1.2327369623144269,88.91141517714246,True,hit_20,,,
new_high_60 AND chart=new_high_120 AND price_low<=5000won,combo3,100,0.76,1.3236232407073258,90,0.7333333333333333,1.2327369623144269,88.91141517714246,True,hit_20,,,
new_high_120 AND chart=new_high_120 AND price_low<=5000won,combo3,100,0.76,1.3236232407073258,90,0.7333333333333333,1.2327369623144269,88.91141517714246,True,hit_20,,,
s2>=70 AND chart=new_high_120 AND price_low<=5000won,combo3,95,0.7578947368421053,1.3199566943341754,89,0.7303370786516854,1.2277002433672792,89.46345561156248,True,hit_20,,,
s8>=70 AND chart=new_high_120 AND price_low<=5000won,combo3,94,0.7553191489361702,1.3154710258989382,89,0.7303370786516854,1.2277002433672792,89.46345561156248,True,hit_20,,,
s3>=90 AND KOSDAQ AND past_120>=50,combo3,167,0.7664670658682635,1.334886344236824,124,0.7096774193548387,1.1929712538526713,125.24893352392944,True,hit_20,,,
s3>=90 AND KOSDAQ AND past_60>=30,combo3,238,0.8235294117647058,1.4342666694971022,165,0.7090909090909091,1.1919853271965948,92.70714585507899,True,hit_20,,,
is_first_pullback AND chart=box_breakout AND marcap<=200bn,combo3,91,0.7692307692307693,1.3396996363434472,58,0.7068965517241379,1.1882966016040322,83.99915446210872,True,hit_20,,,
cup_and_handle_detected AND past_60>=30 AND rs<=0.95,combo3,89,0.7528089887640449,1.31109930702825,51,0.6862745098039216,1.1536308470856937,63.50478986671258,False,hit_20,,,
s8>=90 AND KOSDAQ AND chart=persistent_uptrend,combo3,127,0.7559055118110236,1.3164922410682063,86,0.686046511627907,1.153247581023539,93.14391250404861,False,hit_20,,,
new_high_120 AND KOSPI AND marcap<=200bn,combo3,229,0.7554585152838428,1.315713747657822,119,0.680672268907563,1.1442134524156065,59.70665905329948,False,hit_20,,,
s5>=70 AND chart=persistent_uptrend AND marcap<=200bn,combo3,155,0.7741935483870968,1.3483428598037275,43,0.6744186046511628,1.1337010118536486,168.38690681699725,False,hit_20,,,
is_first_pullback AND past_60>=30 AND marcap<=200bn,combo3,136,0.75,1.306207145434861,30,0.6666666666666666,1.120669965740388,82.95209789137988,False,hit_20,,,
s3>=90 AND chart=persistent_uptrend AND marcap<=200bn,combo3,103,0.7864077669902912,1.369615259290922,27,0.6666666666666666,1.120669965740388,49.11117284745069,False,hit_20,,,
s3>=90 AND is_first_pullback AND past_60>=30,combo3,187,0.7540106951871658,1.3131922103837106,62,0.6612903225806451,1.1116323047263528,53.39051002049982,False,hit_20,,,
s5>=70 AND KOSDAQ AND chart=persistent_uptrend,combo3,240,0.7625,1.327977264525442,147,0.6598639455782312,1.1092345579267107,106.93592315391763,False,hit_20,,,
s5>=70 AND KOSDAQ AND price_low<=5000won,combo3,311,0.7556270096463023,1.3160071990447688,99,0.6565656565656566,1.1036901177746248,157.56428650056287,False,hit_20,,,
s2>=90 AND KOSDAQ AND past_60>=30,combo3,276,0.7608695652173914,1.3251376837744968,186,0.6559139784946236,1.1025946437123173,80.33534096299023,False,hit_20,,,
