Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num
2024-02-01,039490,키움증권,KOSPI,107600.0,2024-10-31,134600.0,25.1,36.1,익절,일반,27.7,0,68.15,32353275600.0,sideways,11.40552995391706,-4.72906403940887,-3.972194637537241,-11.608775137111515,0.3677995476108946,-9.4488188976378,16467.0,104600.0,10.05,1.6
2024-02-01,000880,한화,KOSPI,30000.0,2024-10-31,28050.0,-6.5,7.3,중립,일반,37.5,0,77.2,90942660000.0,box_breakout,16.952789699570815,-8.249158249158251,-4.385964912280704,-18.413173652694613,-0.29302229619823056,-11.389961389961389,405711.0,521036.0,30.42,1.01
2024-02-01,000370,한화손해보험,KOSPI,5120.0,2024-10-31,4790.0,-6.4,21.7,중립,일반,44.9,0,80.42,163761269760.0,box_breakout,3.0732860520094496,5.953827460510319,1.9883040935672502,-15.339805825242713,-0.4650679022046236,-7.202881152460982,,,3.72,0.41
2024-02-01,139130,iM금융지주,KOSPI,9800.0,2024-10-31,8170.0,-16.6,1.8,중립,일반,25.4,0,58.65,33014661400.0,new_high_240,12.907268170426068,21.75675675675677,15.661103979460854,0.0,0.5384806588136514,-4.941176470588237,198442.0,2144041.0,7.02,0.49
2024-02-01,000370,한화손해보험,KOSPI,5120.0,2024-10-31,4790.0,-6.4,21.7,중립,일반,44.9,0,72.46,163761269760.0,box_breakout,3.0732860520094496,5.953827460510319,1.9883040935672502,-15.339805825242713,-0.4650679022046236,-7.202881152460982,,,3.72,0.41
2024-02-01,139130,iM금융지주,KOSPI,9800.0,2024-10-31,8170.0,-16.6,1.8,중립,일반,25.5,0,68.03,33014661400.0,new_high_240,12.907268170426068,21.75675675675677,15.661103979460854,0.0,0.5384806588136514,-4.941176470588237,198442.0,2144041.0,7.02,0.49
2024-01-31,003090,대웅,KOSPI,23200.0,2024-10-30,24800.0,6.9,21.1,익절,일반,35.4,0,46.52,25279880000.0,new_high_240,41.04234527687296,60.966542750929364,1.8823529411764683,-2.257336343115124,5.411702471480915,-7.936507936507942,-10454.0,252358.0,6.54,0.73
2024-01-31,003090,대웅,KOSPI,23200.0,2024-10-30,24800.0,6.9,21.1,익절,일반,35.3,0,52.85,25279880000.0,new_high_240,41.04234527687296,60.966542750929364,1.8823529411764683,-2.257336343115124,5.411702471480915,-7.936507936507942,-10454.0,252358.0,6.54,0.73
2024-01-31,003240,태광산업,KOSPI,919000.0,2024-10-30,647000.0,-29.6,3.4,손절,일반,46.1,0,48.89,19196072000.0,new_high_240,39.96598639455782,36.48424543946931,13.204951856946344,0.0,0.7405027670868146,-6.913183279742762,-1750.0,9357.0,14.11,0.22
2024-01-31,003090,대웅,KOSPI,23200.0,2024-10-30,24800.0,6.9,21.1,익절,일반,35.3,0,52.6,25279880000.0,new_high_240,41.04234527687296,60.966542750929364,1.8823529411764683,-2.257336343115124,5.411702471480915,-7.936507936507942,-10454.0,252358.0,6.54,0.73
