rule,type,feat,direction,cut,train_n,train_winner_rate,train_loser_rate,train_winner_lift,train_loser_lift,train_mean_ret,train_median_ret,test_n,test_winner_rate,test_loser_rate,test_winner_lift,test_loser_lift,test_mean_ret,test_median_ret
is_first_pullback AND slope60<=-1 AND rs>=1.1,combo3,,,,97,0.27835051546391754,0.16494845360824742,1.803113540441431,0.9459788914003588,21.372698390075975,4.477611940298507,50,0.3,0.16,1.4574257425742574,0.8648225214198286,47.300413822407876,30.810810810810814
is_first_pullback AND pos252_far AND rs<=0.95,combo3,,,,217,0.041474654377880185,0.271889400921659,0.26866668728543597,1.5592849065334833,-7.406169685388724,-15.619047619047619,148,0.22972972972972974,0.18243243243243243,1.116046739809116,0.9860729762810546,19.882336930326357,0.06809679351695919
cup_and_handle_detected AND inverse_hns_detected AND near_52w_low,combo3,,,,84,0.17857142857142858,0.2619047619047619,1.156759348034516,1.5020230314347962,8.051463209897639,-8.822003113648158,50,0.36,0.04,1.7489108910891087,0.21620563035495716,43.254573734536876,33.3912221867348
cup_and_handle_detected AND gap_support_detected AND slope60>=1,combo3,,,,95,0.24210526315789474,0.11578947368421053,1.5683221476510067,0.6640522875816993,22.659295729256858,-0.3898635477582846,50,0.32,0.14,1.5545874587458746,0.7567197062423501,24.114232895661146,15.443938264719383
cup_and_handle_detected AND new_high_60 AND KOSDAQ,combo3,,,,776,0.23195876288659795,0.18170103092783504,1.502594617034526,1.0420548725582077,21.808704750407387,1.6812105926860026,374,0.28609625668449196,0.24064171122994651,1.3898801644870367,1.300702321654154,29.975495233936716,9.144344077482664
cup_and_handle_detected AND new_high_60 AND past_60>=30,combo3,,,,603,0.22056384742951907,0.2669983416252073,1.4287800371743076,1.5312346959991092,17.538296967789737,-7.003891050583658,318,0.2358490566037736,0.29245283018867924,1.145774954853976,1.580748712500866,16.51193185606197,-6.126488837905683
cup_and_handle_detected AND new_high_60 AND slope60<=-1,combo3,,,,117,0.23076923076923078,0.2905982905982906,1.494889003613836,1.666580333247,19.12093560598395,6.229508196721312,77,0.2857142857142857,0.16883116883116883,1.388024516737388,0.9125562320176763,20.168535634343908,-10.683760683760683
cup_and_handle_detected AND new_high_60 AND pos252_far,combo3,,,,105,0.1523809523809524,0.34285714285714286,0.987101310322787,1.9662846956964604,2.901953407016162,-5.932203389830509,133,0.20300751879699247,0.2932330827067669,0.9862279461028809,1.5849660871885956,15.105715336114773,-16.129032258064516
cup_and_handle_detected AND new_high_120 AND KOSDAQ,combo3,,,,462,0.24025974025974026,0.1645021645021645,1.556367122810076,0.9434194247028471,22.56231043564099,0.8827238335435058,215,0.32558139534883723,0.3023255813953488,1.58170235628214,1.6341123224502574,25.9143355678285,3.1869614865566285
cup_and_handle_detected AND new_high_120 AND past_60>=30,combo3,,,,545,0.23669724770642203,0.26605504587155965,1.5332898220552924,1.5258248976543634,19.18897876830075,-7.352754102531485,291,0.24742268041237114,0.281786941580756,1.2020006124323772,1.523098083256571,18.645744513901697,-6.548279689234185
cup_and_handle_detected AND new_high_120 AND rs>=1.1,combo3,,,,685,0.22043795620437956,0.2671532846715328,1.4279645324058199,1.532123293909468,16.68279783328623,-8.12720848056537,348,0.29022988505747127,0.2614942528735632,1.4099616858237547,1.4134132444181824,22.05508492110303,-2.4256521863168237
