Date,Year,Code,Name,Market,Close,Amount,p_sw,p_100plus,p_50plus,p_10plus,p_loss,StrongScore_v1,StrongScore_v2,SafeScore,SuperScore,ret_180d,peak_180d,sell_close
2024-03-22,2024,950160,코오롱티슈진,KOSDAQ,15070.0,30094774930.0,0.8479622199555042,0.8534321166965676,0.8223492958105758,0.6943329888059705,0.4551819808246817,3.7360201690725767,5.403478686507187,-0.06489463070089174,6.203712295431633,73.19177173191771,89.7810218978102,26100.0
2024-03-21,2024,232140,와이씨,KOSDAQ,7660.0,150266580020.0,0.8177294091107938,0.806449876602041,0.8031288492975959,0.6988805534685539,0.48525203543550655,3.4954878206620252,5.048919541749127,-0.22537022094282877,5.7510339139304065,30.287206266318535,199.60835509138383,9980.0
2024-03-21,2024,103590,일진전기,KOSPI,18600.0,188327027400.0,0.8012672676436764,0.7419328116392903,0.8077698405461295,0.8023272529170576,0.5246779341650158,3.275114992606062,4.723937999548045,-0.2109653244448344,5.389283005611685,42.20430107526882,62.63440860215055,26450.0
2024-03-20,2024,232140,와이씨,KOSDAQ,7930.0,164026911360.0,0.8368688876607655,0.810711254801378,0.7819846501829417,0.7531405269722423,0.5015741069370943,3.5055099814931165,5.083029277278243,-0.21960483055804492,5.860818341922183,28.625472887767977,189.40731399747796,10200.0
2024-03-18,2024,103590,일진전기,KOSPI,17200.0,294344700800.0,0.8462493306780122,0.7562423418050478,0.8271818213992019,0.7602063690383628,0.5481416791831786,3.4040099677744524,4.926488120849823,-0.3931138364399649,5.721784910864229,47.09302325581395,75.87209302325581,25300.0
2024-03-14,2024,000500,가온전선,KOSPI,28950.0,18102521850.0,0.6635087767000329,0.7160884879901702,0.6839359119087473,0.6881351557435744,0.5283644742995284,2.691866025395045,3.848563348490668,-0.5816161481017459,3.9932653955026876,43.523316062176164,157.34024179620033,41550.0
2024-03-14,2024,950160,코오롱티슈진,KOSDAQ,12640.0,12296495360.0,0.7316034252363024,0.7087918186729707,0.7459361759175361,0.7588239641022954,0.46427807145400257,3.0753780367278942,4.428702725082982,-0.05780625314788601,4.994643895093011,62.18354430379747,91.8512658227848,20500.0
2024-03-13,2024,000500,가온전선,KOSPI,29100.0,27289194300.0,0.6733873957111574,0.7219270314975846,0.6874334419182561,0.682973417116304,0.5388045583171157,2.712877059663874,3.881810808517865,-0.6406425154347146,4.039851165525994,54.98281786941581,156.01374570446734,45100.0
2024-03-12,2024,232140,와이씨,KOSDAQ,7250.0,34304020250.0,0.7870840815846011,0.7849062104693079,0.767435695334045,0.6978563110449868,0.45826402007104966,3.389519215649711,4.8978764639825165,-0.12817178293122966,5.579520715490762,32.82758620689654,216.55172413793102,9630.0
2024-03-12,2024,089030,테크윙,KOSDAQ,26850.0,90237426300.0,0.7302776008620775,0.758629205227776,0.7399165099809841,0.7906916972346105,0.6504621660072778,2.767768788394325,3.957176426725091,-0.9310109255861838,4.0504651785843855,47.29981378026071,163.6871508379888,39550.0
