Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,매수모드
2022-07-19,052020,에스티큐브,KOSDAQ,11231.0,2023-04-10,18136.0,61.5,133.6,익절,100%+,21.5,0,58.33,60689314092.0,persistent_uptrend,62.88732394366197,40.28809704321456,14.618434093161547,-5.185488829678208,4.562446390257092,-22.9893113719993,,,,14.87,주3건
2022-07-19,052020,에스티큐브,KOSDAQ,11231.0,2023-04-10,18136.0,61.5,133.6,익절,100%+,21.4,0,62.49,60689314092.0,persistent_uptrend,62.88732394366197,40.28809704321456,14.618434093161547,-5.185488829678208,4.562446390257092,-22.9893113719993,,,,14.87,주3건
2022-07-19,102940,코오롱생명과학,KOSDAQ,38050.0,2023-04-10,34200.0,-10.1,33.0,중립,일반,51.0,0,48.44,5236669300.0,box_breakout,1.9886363636363535,-5.65045992115637,20.06688963210703,-21.444201312910284,-1.2710620453576513,-16.97054698457223,81368.0,7491.0,27.19,1.2,주3건
2022-07-11,052020,에스티큐브,KOSDAQ,7318.0,2023-03-31,16773.0,129.2,258.5,익절,슈퍼위너,33.3,0,49.49,8277162942.0,box_breakout,12.936943111720357,-2.5144209436473886,-17.746162485960316,-24.084312370421557,-0.375605716646556,-25.28051683100986,,,,14.87,주3건
2022-07-11,052020,에스티큐브,KOSDAQ,7318.0,2023-03-31,16773.0,129.2,258.5,익절,슈퍼위너,33.3,0,45.66,8277162942.0,box_breakout,12.936943111720357,-2.5144209436473886,-17.746162485960316,-24.084312370421557,-0.375605716646556,-25.28051683100986,,,,14.87,주3건
2022-07-11,052020,에스티큐브,KOSDAQ,7318.0,2023-03-31,16773.0,129.2,258.5,익절,슈퍼위너,33.1,0,51.74,8277162942.0,box_breakout,12.936943111720357,-2.5144209436473886,-17.746162485960316,-24.084312370421557,-0.375605716646556,-25.28051683100986,,,,14.87,주3건
2022-07-08,033100,제룡전기,KOSDAQ,6980.0,2023-03-30,12250.0,75.5,89.5,익절,50%+,35.3,0,53.45,6664853000.0,persistent_uptrend,30.6930693069307,28.155339805825253,-1.19760479041916,-8.965517241379306,5.491928515315799,-12.539184952978054,-179953.0,90527.0,20.77,4.71,주3건
2022-07-07,052020,에스티큐브,KOSDAQ,6508.0,2023-03-29,13063.0,100.7,303.1,익절,슈퍼위너,41.7,0,40.17,6859178188.0,V_recovery,-2.8911862624846685,-19.13030789435284,-30.262992324147476,-36.16678184750057,-1.4857082472965792,-27.114427860696523,,,,14.87,주3건
2022-07-07,007390,네이처셀,KOSDAQ,19100.0,2023-03-29,14990.0,-21.5,48.2,손절,일반,56.6,1,42.43,23088232800.0,mixed,0.8498583569405138,-5.319148936170215,-42.2077922077922,-56.53235653235653,1.6003970308543065,-11.023622047244096,-201345.0,74213.0,,23.01,주3건
2022-07-01,094170,동운아나텍,KOSDAQ,7897.0,2023-03-23,8189.0,3.7,43.8,익절,일반,34.4,0,50.09,11421083632.0,box_breakout,16.998276672411095,-10.883054892601429,0.2416107382550381,-17.1878465291639,0.7019609287176192,-24.32137285491419,240828.0,-127097.0,162.92,13.36,주3건
