n,invest,profit,final,ret_pct,avg_ret,avg_peak,SW_n,w100_n,w50_n,winrate,period,mode,filter,sort,combo
119,11900000,4906930.876881722,16806930.876881722,41.23471325110691,41.23471325110689,78.61071502496132,10,28,54,60.50420168067227,OOS,weekly_2,F04_외인25,S08_외인매수강,F04_외인25__S08_외인매수강
119,11900000,4791006.96070163,16691006.96070163,40.26056269497168,40.26056269497168,78.4134389382642,12,26,56,61.34453781512605,OOS,weekly_2,F04_외인25,S09_52주고점근접,F04_외인25__S09_52주고점근접
119,11900000,4466598.869856328,16366598.869856328,37.534444284506954,37.53444428450694,79.93390936711779,9,31,66,65.54621848739495,OOS,weekly_2,F04_외인25,S10_랜덤,F04_외인25__S10_랜덤
162,16200000,7884281.728442143,24084281.728442144,48.66840573112434,48.66840573112433,86.34849887010421,15,46,85,65.4320987654321,OOS,weekly_2,F05_slope05_For양,S01_거래대금낮,F05_slope05_For양__S01_거래대금낮
162,16200000,6514853.1993853655,22714853.199385367,40.2151432060825,40.21514320608251,81.2466998768444,18,42,74,53.70370370370371,OOS,weekly_2,F05_slope05_For양,S02_거래대금높,F05_slope05_For양__S02_거래대금높
162,16200000,8090792.507825246,24290792.507825248,49.9431636285509,49.943163628550906,94.57364379645207,20,47,86,62.96296296296296,OOS,weekly_2,F05_slope05_For양,S03_점수낮,F05_slope05_For양__S03_점수낮
162,16200000,6116925.907462969,22316925.90746297,37.75880189791956,37.75880189791956,80.71869656531368,13,40,78,61.72839506172839,OOS,weekly_2,F05_slope05_For양,S04_점수높,F05_slope05_For양__S04_점수높
162,16200000,6195225.638470178,22395225.638470177,38.24213357080357,38.24213357080357,73.114057352205,12,29,65,62.34567901234568,OOS,weekly_2,F05_slope05_For양,S05_변동성낮,F05_slope05_For양__S05_변동성낮
162,16200000,8032222.572539695,24232222.572539695,49.58162081814626,49.58162081814626,95.03208702424041,21,51,95,61.72839506172839,OOS,weekly_2,F05_slope05_For양,S06_변동성높,F05_slope05_For양__S06_변동성높
162,16200000,8098924.641381414,24298924.641381413,49.99336198383589,49.99336198383589,89.82401582241825,19,49,83,61.72839506172839,OOS,weekly_2,F05_slope05_For양,S07_slope강한,F05_slope05_For양__S07_slope강한
162,16200000,8442871.425494578,24642871.425494578,52.11649028083073,52.11649028083073,94.6561850739018,17,47,84,64.81481481481481,OOS,weekly_2,F05_slope05_For양,S08_외인매수강,F05_slope05_For양__S08_외인매수강
162,16200000,9034375.757937232,25234375.75793723,55.76775159220514,55.76775159220514,96.92918274132427,21,46,86,64.19753086419753,OOS,weekly_2,F05_slope05_For양,S09_52주고점근접,F05_slope05_For양__S09_52주고점근접
162,16200000,7469545.204793039,23669545.20479304,46.10830373329036,46.10830373329037,87.01377036816507,16,47,82,62.34567901234568,OOS,weekly_2,F05_slope05_For양,S10_랜덤,F05_slope05_For양__S10_랜덤
160,16000000,6189936.895166207,22189936.895166207,38.6871055947888,38.6871055947888,80.041936909532,10,41,81,62.5,OOS,weekly_2,F06_외인기관동시,S01_거래대금낮,F06_외인기관동시__S01_거래대금낮
160,16000000,6719027.571103728,22719027.57110373,41.9939223193983,41.993922319398294,83.4144014877276,16,38,70,53.125,OOS,weekly_2,F06_외인기관동시,S02_거래대금높,F06_외인기관동시__S02_거래대금높
160,16000000,6489425.479385158,22489425.47938516,40.558909246157235,40.558909246157235,84.8515639672739,17,40,76,59.375,OOS,weekly_2,F06_외인기관동시,S03_점수낮,F06_외인기관동시__S03_점수낮
160,16000000,6227989.168712931,22227989.16871293,38.924932304455815,38.924932304455815,80.87690826177577,13,40,76,61.25000000000001,OOS,weekly_2,F06_외인기관동시,S04_점수높,F06_외인기관동시__S04_점수높
